case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject019,sd:2,M4 wall_flux,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.0
subject019,sd:2.5,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M2 band_connect,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M3 expansion,3.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.4999,0.06
subject019,sd:2.5,M3 expansion,5.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.55,0.06
subject019,sd:2.5,M3 expansion,6.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.625,0.06
subject019,sd:2.5,M3 expansion,8.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.7187,0.06
subject019,sd:2.5,M3 expansion,10.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.775,0.06
subject019,sd:2.5,M4 wall_flux,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:2.5,M4 wall_flux,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:2.5,M4 wall_flux,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:2.5,M4 wall_flux,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:2.5,M4 wall_flux,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:3,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M2 band_connect,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M3 expansion,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.2928,0.06
subject019,sd:3,M3 expansion,5.0,3,4,2,2,1,0.5,0.6667,0.5714,2.561,2.561,3.0,0.4878,0.06
subject019,sd:3,M3 expansion,6.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.415,0.06
subject019,sd:3,M3 expansion,8.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.5613,0.06
subject019,sd:3,M3 expansion,10.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.649,0.06
subject019,sd:3,M4 wall_flux,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:3,M4 wall_flux,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:3,M4 wall_flux,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:3,M4 wall_flux,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:3,M4 wall_flux,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,sd:3.5,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:3.5,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:3.5,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:3.5,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:3.5,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:3.5,M2 band_connect,3.0,3,2,1,1,2,0.5,0.3333,0.4,1.5,1.5,1.5,0.5001,0.05
subject019,sd:3.5,M2 band_connect,5.0,3,2,1,1,2,0.5,0.3333,0.4,1.5,1.5,1.5,0.7,0.05
subject019,sd:3.5,M2 band_connect,6.0,3,2,1,1,2,0.5,0.3333,0.4,1.5,1.5,1.5,0.75,0.05
subject019,sd:3.5,M2 band_connect,8.0,3,2,1,1,2,0.5,0.3333,0.4,1.5,1.5,1.5,0.8125,0.05
subject019,sd:3.5,M2 band_connect,10.0,3,2,1,1,2,0.5,0.3333,0.4,1.5,1.5,1.5,0.85,0.05
subject019,sd:3.5,M3 expansion,3.0,3,5,1,4,2,0.2,0.3333,0.25,2.121,2.121,2.121,0.2928,0.07
subject019,sd:3.5,M3 expansion,5.0,3,5,1,4,2,0.2,0.3333,0.25,2.121,2.121,2.121,0.5757,0.07
subject019,sd:3.5,M3 expansion,6.0,3,5,2,3,1,0.4,0.6667,0.5,3.765,3.765,5.408,0.3725,0.07
subject019,sd:3.5,M3 expansion,8.0,3,5,2,3,1,0.4,0.6667,0.5,3.765,3.765,5.408,0.5294,0.07
subject019,sd:3.5,M3 expansion,10.0,3,5,2,3,1,0.4,0.6667,0.5,3.765,3.765,5.408,0.6235,0.07
subject019,sd:3.5,M4 wall_flux,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.0
subject019,sd:3.5,M4 wall_flux,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.0
subject019,sd:3.5,M4 wall_flux,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.0
subject019,sd:3.5,M4 wall_flux,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.0
subject019,sd:3.5,M4 wall_flux,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.0
subject019,v2,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,v2,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,v2,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,v2,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,v2,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,v2,M2 band_connect,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,v2,M2 band_connect,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,v2,M2 band_connect,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.05
