instance_id,parent_instance_id,ostium_x_mm,ostium_y_mm,ostium_z_mm,seed_x_mm,seed_y_mm,seed_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,aorta,8.02,31.44,-988.84,4.0,32.45,-986.04,-0.804,0.2016,0.5595,1.212
branch_002,aorta,21.31,35.35,-995.24,17.19,32.97,-996.78,-0.8234,-0.4772,-0.3072,1.225
branch_003,aorta,22.09,29.1,-1030.44,25.99,29.91,-1027.42,0.7797,0.1636,0.6044,
branch_004,aorta,16.62,39.26,-1053.64,20.14,42.78,-1053.18,0.7047,0.7034,0.0925,
branch_005,aorta,20.53,35.35,-976.84,19.77,35.78,-971.92,-0.1524,0.0846,0.9847,0.678
branch_006,aorta,18.96,28.32,-1013.64,19.64,28.34,-1008.69,0.1351,0.0052,0.9908,0.705
branch_007,aorta,11.93,35.35,-1035.24,12.84,36.51,-1030.46,0.1816,0.2323,0.9555,0.782
branch_008,aorta,20.53,35.35,-959.24,19.67,35.21,-954.32,-0.1714,-0.0287,0.9848,0.782
