id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,25.14,-139.36,307.1,-0.7815,-0.6225,0.0414,2.468
branch_002,11.64,-140.86,277.1,-0.3624,-0.2498,0.8979,1.787
branch_003,22.14,-130.36,335.6,-0.7071,0.7071,0.0,1.838
branch_004,7.14,-121.36,373.1,0.4472,0.0,0.8944,1.756
