id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,18.18,31.44,-975.24,,,,
branch_002,22.09,30.66,-1030.44,,,,
branch_003,17.4,39.26,-1052.84,,,,
branch_004,9.58,40.83,-1079.24,,,,
branch_005,16.62,43.17,-1079.24,,,,
branch_006,9.58,35.35,-1052.84,,,,
branch_007,16.62,38.48,-1015.24,,,,
branch_008,17.4,32.22,-959.24,,,,
branch_009,13.49,25.97,-1032.84,,,,
branch_010,8.8,31.44,-989.64,,,,
