method,n_ostia,runtime_s,note,mean_agreement_pct
M1 frangi,4,0.65,thr=0.206,54.2
M2 band_connect,4,0.11,band 307-868 HU,70.8
M3 expansion,10,0.14,0 leak(s) blocked,35.0
M4 wall_flux,1,0.01,thr 419 HU,0.0
M5 escape,17,0.29,cost<18.0,21.6
M6 oof,3,1.54,thr=21.639,83.3
M7 bulge,0,0.02,dev > 2.0 sd (3.49 mm),
M8 consensus,4,0.01,>=3 methods agree,75.0
