id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,15.84,30.66,-976.04,0.0828,0.5259,-0.8465,1.291
branch_002,15.84,33.01,-954.44,-0.115,0.5399,-0.8338,1.445
branch_003,8.8,31.44,-986.44,0.7707,0.2411,-0.5899,1.34
branch_004,21.31,35.35,-994.44,-0.8322,-0.4664,-0.2999,1.082
branch_005,22.09,30.66,-1030.44,-0.7146,-0.6111,0.3405,0.785
branch_006,11.14,40.83,-1078.44,0.9802,-0.0227,-0.1967,0.751
branch_007,17.4,39.26,-1055.24,-0.4668,-0.269,0.8425,0.763
branch_008,16.62,36.13,-1023.24,-0.299,-0.2124,0.9303,
branch_009,18.18,40.83,-1076.84,-0.514,-0.8426,-0.1608,0.782
