branch,dist_lo_mm,dist_hi_mm,n_voxels,hu_p10,hu_p50,hu_p90,hu_min
label_2,0.0,1.0,0,,,,
label_2,1.0,2.0,10,258.8,304.5,331.2,248.0
label_2,2.0,3.0,9,256.0,340.0,363.4,236.0
label_2,3.0,4.0,7,198.6,211.0,243.4,198.0
label_2,4.0,5.0,0,,,,
label_3,0.0,1.0,0,,,,
label_3,1.0,2.0,1,293.0,293.0,293.0,293.0
label_3,2.0,3.0,3,215.2,268.0,269.6,202.0
label_3,3.0,4.0,2,214.9,262.5,310.1,203.0
label_3,4.0,5.0,2,293.1,309.5,325.9,289.0
label_3,5.0,6.0,3,231.0,331.0,364.6,206.0
label_3,6.0,7.0,3,251.2,252.0,293.6,251.0
label_3,7.0,8.0,2,303.9,311.5,319.1,302.0
label_3,8.0,9.0,0,,,,
label_4,0.0,1.0,0,,,,
label_4,1.0,2.0,6,194.0,222.5,270.0,190.0
label_4,2.0,3.0,3,279.2,304.0,310.4,273.0
label_4,3.0,4.0,5,220.2,231.0,320.8,217.0
label_4,4.0,5.0,0,,,,
