branch,k_sd,rule,lo_hu,hi_hu,frac_in_band,frac_below,frac_above
label_2,1.5,mean_sd,334.0,429.7,0.1923,0.8077,0.0
label_2,1.5,median_mad,337.5,426.5,0.1923,0.8077,0.0
label_2,2.0,mean_sd,318.1,445.7,0.2692,0.7308,0.0
label_2,2.0,median_mad,322.7,441.3,0.2692,0.7308,0.0
label_2,2.5,mean_sd,302.1,461.6,0.4615,0.5385,0.0
label_2,2.5,median_mad,307.9,456.1,0.3462,0.6538,0.0
label_2,3.0,mean_sd,286.2,477.6,0.5385,0.4615,0.0
label_2,3.0,median_mad,293.0,471.0,0.5385,0.4615,0.0
label_2,3.5,mean_sd,270.2,493.5,0.5385,0.4615,0.0
label_2,3.5,median_mad,278.2,485.8,0.5385,0.4615,0.0
label_2,4.0,mean_sd,254.3,509.4,0.6923,0.3077,0.0
label_2,4.0,median_mad,263.4,500.6,0.6154,0.3846,0.0
label_3,1.5,mean_sd,334.0,429.7,0.0625,0.9375,0.0
label_3,1.5,median_mad,337.5,426.5,0.0625,0.9375,0.0
label_3,2.0,mean_sd,318.1,445.7,0.3125,0.6875,0.0
label_3,2.0,median_mad,322.7,441.3,0.1875,0.8125,0.0
label_3,2.5,mean_sd,302.1,461.6,0.375,0.625,0.0
label_3,2.5,median_mad,307.9,456.1,0.3125,0.6875,0.0
label_3,3.0,mean_sd,286.2,477.6,0.5625,0.4375,0.0
label_3,3.0,median_mad,293.0,471.0,0.4375,0.5625,0.0
label_3,3.5,mean_sd,270.2,493.5,0.5625,0.4375,0.0
label_3,3.5,median_mad,278.2,485.8,0.5625,0.4375,0.0
label_3,4.0,mean_sd,254.3,509.4,0.6875,0.3125,0.0
label_3,4.0,median_mad,263.4,500.6,0.6875,0.3125,0.0
label_4,1.5,mean_sd,334.0,429.7,0.0714,0.9286,0.0
label_4,1.5,median_mad,337.5,426.5,0.0714,0.9286,0.0
label_4,2.0,mean_sd,318.1,445.7,0.0714,0.9286,0.0
label_4,2.0,median_mad,322.7,441.3,0.0714,0.9286,0.0
label_4,2.5,mean_sd,302.1,461.6,0.2143,0.7857,0.0
label_4,2.5,median_mad,307.9,456.1,0.1429,0.8571,0.0
label_4,3.0,mean_sd,286.2,477.6,0.2143,0.7857,0.0
label_4,3.0,median_mad,293.0,471.0,0.2143,0.7857,0.0
label_4,3.5,mean_sd,270.2,493.5,0.3571,0.6429,0.0
label_4,3.5,median_mad,278.2,485.8,0.2857,0.7143,0.0
label_4,4.0,mean_sd,254.3,509.4,0.4286,0.5714,0.0
label_4,4.0,median_mad,263.4,500.6,0.3571,0.6429,0.0
