k_sd,instance_id,cluster_id,ostium_x_mm,ostium_y_mm,ostium_z_mm,seed_x_mm,seed_y_mm,seed_z_mm,dir_x,dir_y,dir_z,radius_mm
2.0,branch_001,1,24.13,-176.37,260.6,24.13,-176.37,265.6,0.0,0.0,1.0,
2.0,branch_002,2,13.63,-165.87,281.6,13.63,-165.87,286.6,0.0,0.0,1.0,
2.5,branch_003,1,24.13,-174.87,256.1,24.13,-173.65,260.95,0.0,0.2434,0.9699,1.5
2.5,branch_002,2,13.63,-165.87,281.6,9.94,-169.18,281.03,-0.7394,-0.6635,-0.1143,1.5
2.5,branch_001,3,4.63,-170.37,283.1,7.44,-171.91,279.26,0.5605,-0.3089,-0.7684,1.333
2.5,branch_004,4,24.13,-177.87,266.6,24.13,-177.87,271.6,0.0,0.0,1.0,
3.0,branch_003,1,24.13,-174.87,256.1,24.53,-173.66,260.94,0.0787,0.2416,0.9672,1.5
3.0,branch_004,2,13.63,-165.87,280.1,9.95,-169.21,279.65,-0.7378,-0.6691,-0.0897,1.333
3.0,branch_002,3,4.63,-170.37,283.1,7.18,-172.52,279.37,0.5096,-0.4299,-0.7453,
3.0,branch_001,5,18.13,-185.37,299.6,17.95,-187.2,304.25,-0.0373,-0.3674,0.9293,0.522
3.5,branch_001,2,13.63,-165.87,280.1,13.31,-165.63,285.08,-0.0646,0.0462,0.9968,1.086
3.5,branch_002,5,18.13,-185.37,299.6,18.24,-186.94,304.34,0.0205,-0.3154,0.9487,0.36
3.5,branch_003,6,3.13,-168.87,304.1,5.29,-170.1,308.44,0.4304,-0.2462,0.8684,
3.5,branch_004,7,19.63,-182.37,266.6,19.63,-182.37,271.6,0.0,0.0,1.0,
3.5,branch_005,8,7.63,-168.87,262.1,7.63,-168.87,267.1,0.0,0.0,1.0,
4.0,branch_002,3,4.63,-170.37,281.6,8.59,-172.11,279.09,0.7915,-0.3494,-0.5014,0.535
4.0,branch_004,6,3.13,-168.87,304.1,3.95,-171.34,308.37,0.1627,-0.4938,0.8542,1.5
4.0,branch_006,7,19.63,-182.37,265.1,19.63,-182.37,270.1,0.0,0.0,1.0,
4.0,branch_005,8,7.63,-167.37,259.1,7.7,-166.27,263.98,0.0122,0.2188,0.9757,1.5
4.0,branch_001,9,10.63,-162.87,248.6,15.36,-161.62,247.53,0.9442,0.2498,-0.2145,2.075
4.0,branch_003,10,9.13,-186.87,287.6,4.41,-186.38,289.16,-0.9452,0.0975,0.3115,0.538
4.0,branch_007,11,6.13,-171.87,263.6,6.13,-171.87,268.6,0.0,0.0,1.0,
