cluster_id,n_k_seen,n_k_total,persistence,k_values,x_mm,y_mm,z_mm,spread_mm,median_radius_mm
2,4,6,0.667,2 2.5 3 3.5,13.63,-165.87,280.85,0.75,1.33
1,3,6,0.5,2 2.5 3,24.13,-175.37,257.6,3.16,1.5
3,3,6,0.5,2.5 3 4,4.63,-170.37,282.6,1.0,0.93
8,2,6,0.333,3.5 4,7.63,-168.12,260.6,1.68,1.5
7,2,6,0.333,3.5 4,19.63,-182.37,265.85,0.75,
5,2,6,0.333,3 3.5,18.13,-185.37,299.6,0.0,0.44
6,2,6,0.333,3.5 4,3.13,-168.87,304.1,0.0,1.5
9,1,6,0.167,4,10.63,-162.87,248.6,0.0,2.08
11,1,6,0.167,4,6.13,-171.87,263.6,0.0,
4,1,6,0.167,2.5,24.13,-177.87,266.6,0.0,
10,1,6,0.167,4,9.13,-186.87,287.6,0.0,0.54
