method,n_ostia,runtime_s,note,mean_agreement_pct
M1 frangi,3,4.43,thr=0.216,66.7
M2 band_connect,8,1.33,band 246-358 HU,52.5
M3 expansion,9,1.39,0 leak(s) blocked,48.9
M4 wall_flux,4,0.08,thr 269 HU,75.0
M5 escape,0,4.44,cost<18.0,
M6 oof,4,5.98,thr=15.815,80.0
M7 bulge,0,0.16,dev > 2.0 sd (1.87 mm),
M8 consensus,5,0.04,>=3 methods agree,80.0
