id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,2.64,-142.36,314.6,,,,
branch_002,23.64,-140.86,305.6,,,,
branch_003,17.64,-151.36,337.1,,,,
branch_004,14.64,-151.36,322.1,,,,
