case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject020,sd:3+r5,M3 expansion,5.0,4,1,1,0,3,1.0,0.25,0.4,2.122,2.122,2.122,0.5757,0.07
subject020,sd:3+r5,M3 expansion,6.0,4,1,1,0,3,1.0,0.25,0.4,2.122,2.122,2.122,0.6464,0.07
subject020,sd:3+r5,M3 expansion,8.0,4,1,1,0,3,1.0,0.25,0.4,2.122,2.122,2.122,0.7348,0.07
subject020,sd:3+r5,M3 expansion,10.0,4,1,1,0,3,1.0,0.25,0.4,2.122,2.122,2.122,0.7878,0.07
subject020,sd:3+f230,M3 expansion,3.0,4,3,1,2,3,0.3333,0.25,0.2857,1.5,1.5,1.5,0.5,0.07
subject020,sd:3+f230,M3 expansion,5.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.3757,0.07
subject020,sd:3+f230,M3 expansion,6.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.4798,0.07
subject020,sd:3+f230,M3 expansion,8.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.6098,0.07
subject020,sd:3+f230,M3 expansion,10.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.6879,0.07
subject020,sd:3+f230+r5,M3 expansion,3.0,4,3,1,2,3,0.3333,0.25,0.2857,1.5,1.5,1.5,0.5,0.07
subject020,sd:3+f230+r5,M3 expansion,5.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.3757,0.07
subject020,sd:3+f230+r5,M3 expansion,6.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.4798,0.07
subject020,sd:3+f230+r5,M3 expansion,8.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.6098,0.07
subject020,sd:3+f230+r5,M3 expansion,10.0,4,3,2,1,2,0.6667,0.5,0.5714,3.121,3.121,4.743,0.6879,0.07
subject020,sd:3+f250,M3 expansion,3.0,4,3,1,2,3,0.3333,0.25,0.2857,1.5,1.5,1.5,0.5,0.07
subject020,sd:3+f250,M3 expansion,5.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.5146,0.07
subject020,sd:3+f250,M3 expansion,6.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.5955,0.07
subject020,sd:3+f250,M3 expansion,8.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.6966,0.07
subject020,sd:3+f250,M3 expansion,10.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.7573,0.07
subject020,sd:3+f250+r5,M3 expansion,3.0,4,3,1,2,3,0.3333,0.25,0.2857,1.5,1.5,1.5,0.5,0.07
subject020,sd:3+f250+r5,M3 expansion,5.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.5146,0.07
subject020,sd:3+f250+r5,M3 expansion,6.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.5955,0.07
subject020,sd:3+f250+r5,M3 expansion,8.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.6966,0.07
subject020,sd:3+f250+r5,M3 expansion,10.0,4,3,2,1,2,0.6667,0.5,0.5714,2.427,2.427,3.354,0.7573,0.07
subject020,sd:3+f280,M3 expansion,3.0,4,3,1,2,3,0.3333,0.25,0.2857,2.122,2.122,2.122,0.2928,0.07
subject020,sd:3+f280,M3 expansion,5.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.4525,0.07
subject020,sd:3+f280,M3 expansion,6.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.5437,0.07
subject020,sd:3+f280,M3 expansion,8.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.6578,0.07
subject020,sd:3+f280,M3 expansion,10.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.7262,0.07
subject020,sd:3+f280+r5,M3 expansion,3.0,4,3,1,2,3,0.3333,0.25,0.2857,2.122,2.122,2.122,0.2928,0.06
subject020,sd:3+f280+r5,M3 expansion,5.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.4525,0.06
subject020,sd:3+f280+r5,M3 expansion,6.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.5437,0.06
subject020,sd:3+f280+r5,M3 expansion,8.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.6578,0.06
subject020,sd:3+f280+r5,M3 expansion,10.0,4,3,2,1,2,0.6667,0.5,0.5714,2.738,2.738,3.354,0.7262,0.06
subject021,sd:3,M3 expansion,3.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.431,0.12
subject021,sd:3,M3 expansion,5.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.6586,0.12
subject021,sd:3,M3 expansion,6.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7155,0.12
subject021,sd:3,M3 expansion,8.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7866,0.12
subject021,sd:3,M3 expansion,10.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.8293,0.12
subject021,sd:3+r5,M3 expansion,3.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.431,0.1
subject021,sd:3+r5,M3 expansion,5.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.6586,0.1
subject021,sd:3+r5,M3 expansion,6.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.7155,0.1
