k_sd,instance_id,cluster_id,ostium_x_mm,ostium_y_mm,ostium_z_mm,seed_x_mm,seed_y_mm,seed_z_mm,dir_x,dir_y,dir_z,radius_mm
1.5,branch_001,1,13.56,-126.44,356.0,13.56,-126.44,361.0,0.0,0.0,1.0,
1.5,branch_002,2,7.56,-139.94,324.5,7.56,-139.94,329.5,0.0,0.0,1.0,
2.0,branch_001,1,13.56,-126.44,356.0,13.56,-126.44,361.0,0.0,0.0,1.0,
2.0,branch_003,2,7.56,-139.94,324.5,7.56,-139.94,329.5,0.0,0.0,1.0,
2.0,branch_002,3,22.56,-144.44,347.0,22.56,-144.44,352.0,0.0,0.0,1.0,
2.5,branch_003,1,13.56,-126.44,356.0,13.56,-126.44,361.0,0.0,0.0,1.0,
2.5,branch_001,2,6.06,-141.44,323.0,3.79,-143.12,327.12,-0.455,-0.3366,0.8245,1.5
2.5,branch_002,3,22.56,-145.94,342.5,23.18,-147.05,347.33,0.124,-0.2227,0.967,1.333
3.0,branch_004,1,13.56,-126.44,356.0,13.56,-126.44,361.0,0.0,0.0,1.0,
3.0,branch_003,2,6.06,-141.44,323.0,3.79,-143.12,327.12,-0.455,-0.3366,0.8245,1.5
3.0,branch_001,3,22.56,-145.94,342.5,23.38,-147.04,347.31,0.1642,-0.2198,0.9616,1.333
3.0,branch_002,4,9.06,-133.94,338.0,11.83,-133.94,333.83,0.5531,-0.0,-0.8331,1.5
3.5,branch_003,1,13.56,-126.44,356.0,13.56,-126.44,361.0,0.0,0.0,1.0,
3.5,branch_002,4,9.06,-133.94,338.0,11.83,-133.94,333.83,0.5531,-0.0,-0.8331,1.5
3.5,branch_001,5,24.06,-145.94,338.0,24.82,-146.89,342.85,0.1509,-0.1903,0.9701,1.333
4.0,branch_003,1,12.06,-126.44,354.5,9.56,-128.94,358.04,-0.5,-0.5,0.7071,1.5
4.0,branch_002,4,9.06,-133.94,338.0,11.83,-133.94,333.83,0.5531,-0.0,-0.8331,1.5
4.0,branch_001,5,24.06,-145.94,338.0,24.82,-146.89,342.85,0.1509,-0.1903,0.9701,1.333
