k_sd,lo_hu,hi_hu,width_hu,n_ostia,n_components,grown_mL,largest_comp_mL,max_reach_mm,median_radius_mm,runtime_s,note
1.5,452.6,549.7,97.0,2,1,2.94,2.92,29.9,,0.08,0 leak(s) blocked
2.0,436.4,565.8,129.4,3,1,3.3,3.28,29.9,,0.99,0 leak(s) blocked
2.5,420.3,582.0,161.7,3,3,3.55,3.49,29.9,1.42,2.53,0 leak(s) blocked
3.0,404.1,598.2,194.1,4,4,3.72,3.62,29.9,1.5,0.07,0 leak(s) blocked
3.5,387.9,614.3,226.4,3,4,3.92,3.74,29.9,1.42,0.32,0 leak(s) blocked
4.0,371.7,630.5,258.8,3,6,4.03,3.81,29.9,1.5,0.31,0 leak(s) blocked
