cluster_id,n_k_seen,n_k_total,persistence,k_values,x_mm,y_mm,z_mm,spread_mm,median_radius_mm
1,6,6,1.0,1.5 2 2.5 3 3.5 4,13.31,-126.44,355.75,1.77,1.5
2,4,6,0.667,1.5 2 2.5 3,6.81,-140.69,323.75,1.3,1.5
4,3,6,0.5,3 3.5 4,9.06,-133.94,338.0,0.0,1.5
3,3,6,0.5,2 2.5 3,22.56,-145.44,344.0,3.16,1.33
5,2,6,0.333,3.5 4,24.06,-145.94,338.0,0.0,1.33
