id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,11.64,-151.36,325.1,-0.1918,0.8212,-0.5375,2.41
branch_002,22.14,-142.36,305.6,-0.7375,-0.6636,0.1256,1.914
branch_003,4.14,-143.86,314.6,0.8007,-0.0,-0.5991,2.059
