id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,19.75,35.35,-996.04,,,,
branch_002,9.58,30.66,-988.04,,,,
branch_003,15.05,30.66,-976.84,,,,
branch_004,15.84,32.22,-958.44,,,,
