k_sd,instance_id,cluster_id,ostium_x_mm,ostium_y_mm,ostium_z_mm,seed_x_mm,seed_y_mm,seed_z_mm,dir_x,dir_y,dir_z,radius_mm
1.5,branch_001,1,16.62,29.88,-976.84,16.49,32.78,-980.91,-0.0252,0.581,-0.8135,1.738
1.5,branch_003,2,22.09,35.35,-994.44,17.94,32.94,-995.82,-0.8314,-0.4824,-0.2758,0.975
1.5,branch_002,3,8.02,31.44,-988.84,12.88,32.22,-989.71,0.9725,0.1549,-0.1741,0.836
1.5,branch_012,4,8.8,34.57,-1020.04,8.28,35.05,-1015.09,-0.1035,0.0951,0.9901,0.782
1.5,branch_004,5,18.96,26.75,-1058.44,17.81,26.3,-1063.28,-0.2305,-0.0899,-0.9689,0.78
1.5,branch_011,6,16.62,29.88,-987.24,19.83,30.14,-983.41,0.6416,0.0533,0.7652,0.599
1.5,branch_010,7,8.8,33.01,-1055.24,7.55,31.24,-1050.73,-0.2496,-0.3541,0.9013,0.596
1.5,branch_008,8,18.18,26.75,-1022.44,19.81,27.07,-1017.72,0.3252,0.0637,0.9435,0.59
1.5,branch_005,9,22.09,29.1,-1030.44,18.26,26.16,-1029.14,-0.766,-0.5879,0.2599,0.559
1.5,branch_007,10,7.24,37.7,-977.64,7.25,36.25,-972.85,0.0034,-0.2896,0.9571,0.5
1.5,branch_006,11,18.18,30.66,-969.64,20.99,29.49,-965.67,0.5623,-0.2347,0.7929,0.49
1.5,branch_013,12,20.53,35.35,-976.84,19.84,35.49,-971.89,-0.1378,0.0275,0.9901,0.431
1.5,branch_009,13,11.93,27.53,-1010.44,7.17,28.35,-1009.15,-0.9522,0.163,0.2586,0.063
2.0,branch_001,1,15.84,29.88,-977.64,14.96,30.63,-972.77,-0.1758,0.1503,0.9729,2.078
2.0,branch_002,2,21.31,35.35,-995.24,17.23,32.89,-996.76,-0.8157,-0.4917,-0.3047,1.465
2.0,branch_010,3,8.02,36.13,-988.04,8.02,34.94,-983.18,0.0,-0.2387,0.9711,0.782
2.0,branch_003,5,18.96,26.75,-1059.24,17.76,26.23,-1064.07,-0.2401,-0.104,-0.9652,0.927
2.0,branch_011,7,11.14,36.13,-1051.24,10.81,36.47,-1046.26,-0.0666,0.0666,0.9955,0.481
2.0,branch_006,8,18.18,26.75,-1022.44,19.73,27.04,-1017.69,0.3092,0.0578,0.9492,0.6
2.0,branch_004,9,22.09,29.1,-1030.44,18.24,26.2,-1029.12,-0.7707,-0.5802,0.2635,0.337
2.0,branch_009,12,20.53,35.35,-976.84,19.6,35.98,-971.97,-0.186,0.1249,0.9746,0.728
2.0,branch_007,14,17.4,39.26,-1054.44,14.8,37.67,-1050.48,-0.5197,-0.3183,0.7928,0.782
2.0,branch_008,15,10.36,36.92,-1002.44,11.62,37.73,-997.67,0.251,0.1621,0.9543,0.391
2.0,branch_005,16,9.58,36.13,-1058.44,9.69,37.2,-1053.56,0.0221,0.2136,0.9767,0.341
2.5,branch_002,2,22.09,35.35,-994.44,18.16,33.12,-996.57,-0.786,-0.4473,-0.4267,0.749
2.5,branch_001,3,8.02,31.44,-988.84,4.04,32.48,-986.0,-0.7961,0.2081,0.5682,1.113
2.5,branch_009,7,11.14,36.13,-1052.04,10.85,36.43,-1047.06,-0.0584,0.0584,0.9966,0.733
