instance_id,parent_instance_id,ostium_x_mm,ostium_y_mm,ostium_z_mm,seed_x_mm,seed_y_mm,seed_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,aorta,9.13,-165.87,266.6,13.95,-164.6,267.04,0.9635,0.2528,0.0876,1.265
branch_002,aorta,18.13,-185.37,299.6,18.2,-186.97,304.33,0.0139,-0.3214,0.9468,0.36
branch_003,aorta,3.13,-168.87,304.1,3.13,-168.87,309.1,0.0,0.0,1.0,
branch_004,aorta,19.63,-183.87,287.6,19.63,-183.87,292.6,0.0,0.0,1.0,
