method,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
M3 expansion,6.06,-141.44,323.0,-0.455,-0.3366,0.8245,1.5
M3 expansion,22.56,-145.94,342.5,0.124,-0.2227,0.967,1.333
M3 expansion,13.56,-126.44,356.0,,,,
M5 escape,19.56,-139.94,362.0,0.1812,-0.3584,0.9158,1.5
M5 escape,22.56,-145.94,342.5,0.0889,-0.2157,0.9724,1.88
M5 escape,4.56,-124.94,366.5,0.111,-0.4225,0.8995,1.772
M5 escape,7.56,-151.94,327.5,-0.078,-0.3787,0.9222,1.39
M5 escape,18.06,-139.94,323.0,0.1693,-0.5532,0.8156,1.499
M5 escape,9.06,-132.44,345.5,0.2357,-0.2357,0.9428,1.5
M5 escape,7.56,-126.44,359.0,0.2255,-0.2255,0.9478,1.756
M5 escape,19.56,-136.94,330.5,-0.4472,0.0,0.8944,1.756
M5 escape,9.06,-133.94,339.5,0.0,0.0,1.0,
M5 escape,4.56,-135.44,375.5,0.0,0.0,1.0,
M5 escape,16.56,-121.94,372.5,0.0,0.0,1.0,
M5 escape,9.06,-145.94,347.0,0.0,0.0,1.0,
M5 escape,18.06,-126.44,362.0,0.0,0.0,1.0,
M5 escape,19.56,-129.44,354.5,0.0,0.0,1.0,
M5 escape,19.56,-150.44,335.0,0.0,0.0,1.0,
