cluster_id,n_k_seen,n_k_total,persistence,k_values,x_mm,y_mm,z_mm,spread_mm,median_radius_mm
2,6,6,1.0,1.5 2 2.5 3 3.5 4,14.93,-160.07,400.75,3.27,2.02
4,5,6,0.833,1.5 2 2.5 3.5 4,29.08,-165.22,334.4,1.56,1.69
1,4,6,0.667,1.5 2 2.5 3,38.31,-153.82,407.38,1.19,2.13
10,4,6,0.667,2.5 3 3.5 4,10.18,-162.82,409.25,0.75,1.31
3,4,6,0.667,1.5 2 2.5 3,20.68,-168.82,413.0,0.0,2.01
17,2,6,0.333,3.5 4,6.43,-164.32,333.5,2.25,
6,2,6,0.333,2 2.5,20.68,-155.32,350.75,0.75,1.42
8,2,6,0.333,2.5 3,25.18,-151.57,365.75,1.06,0.62
5,2,6,0.333,2 2.5,28.18,-149.32,372.5,0.0,1.4
12,2,6,0.333,3.5 4,44.68,-157.57,382.25,1.84,2.67
9,2,6,0.333,2.5 3,30.43,-145.57,395.0,1.84,1.5
14,2,6,0.333,3.5 4,36.43,-159.07,408.5,1.84,1.14
11,2,6,0.333,3 3.5,22.93,-144.82,409.25,1.06,1.42
20,1,6,0.167,4,17.68,-171.82,329.0,0.0,
13,1,6,0.167,3.5,23.68,-173.32,339.5,0.0,1.5
19,1,6,0.167,4,34.18,-161.32,342.5,0.0,
22,1,6,0.167,4,32.68,-168.82,345.5,0.0,
16,1,6,0.167,3.5,26.68,-171.82,348.5,0.0,
24,1,6,0.167,4,35.68,-162.82,348.5,0.0,
23,1,6,0.167,4,29.68,-153.82,350.0,0.0,
21,1,6,0.167,4,38.68,-159.82,356.0,0.0,
7,1,6,0.167,2.5,22.18,-155.32,359.0,0.0,1.5
18,1,6,0.167,4,31.18,-150.82,360.5,0.0,1.5
15,1,6,0.167,3.5,25.18,-164.32,392.0,0.0,
