k_sd,lo_hu,hi_hu,width_hu,n_ostia,n_components,grown_mL,largest_comp_mL,max_reach_mm,median_radius_mm,runtime_s,note
1.5,419.2,755.9,336.7,4,6,11.05,5.84,30.0,1.9,0.16,0 leak(s) blocked
2.0,363.1,812.0,448.9,6,8,16.33,9.61,30.0,1.64,1.24,0 leak(s) blocked
2.5,307.0,868.1,561.1,10,13,31.82,15.82,30.0,1.59,1.21,0 leak(s) blocked
3.0,250.9,924.3,673.4,7,10,53.34,22.92,30.0,1.76,1.54,0 leak(s) blocked
3.5,194.8,980.4,785.6,10,8,35.42,19.47,30.0,1.69,0.42,2 leak(s) blocked
4.0,138.7,1036.5,897.8,13,14,35.3,34.65,30.0,1.32,0.19,1 leak(s) blocked
