id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,15.84,30.66,-977.64,0.5778,-0.1166,-0.8078,2.205
branch_002,22.09,30.66,-1030.44,-0.7937,-0.6081,-0.0153,0.971
branch_003,17.4,39.26,-1052.84,-0.8085,-0.266,0.5249,0.956
