method,n_ostia,runtime_s,note,mean_agreement_pct
M1 frangi,2,0.28,thr=0.222,50.0
M2 band_connect,0,0.12,"band 497-631 HU, 1 structures",
M3 expansion,0,0.06,"classic | 0 leak(s) blocked, cap 8.0 mL",
M4 wall_flux,0,0.0,thr 497 HU,
M5 escape,0,0.13,"cost<8.0, 1 structures",
M6 oof,1,0.17,thr=23.480,100.0
M7 bulge,0,0.01,dev > 2.0 sd (3.12 mm),
M8 consensus,0,0.0,>=3 methods agree,
