branch,floor_hu,ceiling_hu,reach_mm,frac_of_branch_connected
label_2,100.0,600.0,3.35,1.0
label_2,140.0,600.0,3.35,1.0
label_2,180.0,600.0,3.35,1.0
label_2,220.0,600.0,3.35,1.0
label_2,260.0,600.0,3.35,1.0
label_2,300.0,600.0,3.35,0.8889
label_2,340.0,600.0,3.35,0.6667
label_2,380.0,600.0,3.35,0.5556
label_2,420.0,600.0,3.35,0.4444
label_2,460.0,600.0,0.0,0.0
label_2,500.0,600.0,0.0,0.0
label_3,100.0,600.0,6.36,1.0
label_3,140.0,600.0,6.36,1.0
label_3,180.0,600.0,6.36,1.0
label_3,220.0,600.0,6.36,1.0
label_3,260.0,600.0,6.36,1.0
label_3,300.0,600.0,5.41,0.5294
label_3,340.0,600.0,5.41,0.4706
label_3,380.0,600.0,5.41,0.4706
label_3,420.0,600.0,0.0,0.0
label_3,460.0,600.0,0.0,0.0
label_3,500.0,600.0,0.0,0.0
label_4,100.0,600.0,7.35,1.0
label_4,140.0,600.0,7.35,1.0
label_4,180.0,600.0,7.35,1.0
label_4,220.0,600.0,7.35,1.0
label_4,260.0,600.0,6.87,0.4444
label_4,300.0,600.0,0.0,0.0
label_4,340.0,600.0,0.0,0.0
label_4,380.0,600.0,0.0,0.0
label_4,420.0,600.0,0.0,0.0
label_4,460.0,600.0,0.0,0.0
label_4,500.0,600.0,0.0,0.0
label_5,100.0,600.0,6.87,1.0
label_5,140.0,600.0,6.87,1.0
label_5,180.0,600.0,6.87,1.0
label_5,220.0,600.0,6.87,1.0
label_5,260.0,600.0,6.87,0.9333
label_5,300.0,600.0,2.12,0.0667
label_5,340.0,600.0,2.12,0.0667
label_5,380.0,600.0,2.12,0.0667
label_5,420.0,600.0,0.0,0.0
label_5,460.0,600.0,0.0,0.0
label_5,500.0,600.0,0.0,0.0
