method,n_ostia,runtime_s,note,mean_agreement_pct
M1 frangi,0,0.26,thr=0.222,
M2 band_connect,0,0.05,band 414-631 HU,
M3 expansion,0,0.02,"1 leak(s) blocked (cap 4.0 mL), 0 kept, largest 0.00 mL",
M4 wall_flux,0,0.0,thr 414 HU,
M5 escape,0,0.12,cost<8.0,
M6 oof,0,0.19,thr=22.126,
M7 bulge,0,0.01,dev > 2.0 sd (3.12 mm),
M8 consensus,0,0.0,nothing to vote on,
