method,n_ostia,runtime_s,note,mean_agreement_pct
M1 frangi,0,0.3,thr=0.221,
M2 band_connect,0,0.05,band 337-821 HU,
M3 expansion,4,0.06,0 leak(s) blocked,100.0
M4 wall_flux,0,0.01,thr 434 HU,
M5 escape,16,0.16,cost<18.0,31.2
M6 oof,0,0.58,thr=18.900,
M7 bulge,0,0.01,dev > 2.0 sd (3.12 mm),
M8 consensus,0,0.01,>=3 methods agree,
