method,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
M3 expansion,4.63,-170.37,283.1,0.5605,-0.3089,-0.7684,1.333
M3 expansion,13.63,-165.87,281.6,-0.7394,-0.6635,-0.1143,1.5
M3 expansion,24.13,-174.87,256.1,0.0,0.2434,0.9699,1.5
M3 expansion,24.13,-177.87,266.6,,,,
M5 escape,18.13,-185.37,301.1,-0.5563,0.6924,0.4595,0.684
M5 escape,24.13,-177.87,265.1,0.31,0.31,0.8988,1.976
M5 escape,24.13,-174.87,257.6,0.0,0.0,1.0,
M5 escape,19.63,-179.37,248.6,0.7071,0.7071,0.0,
M5 escape,13.63,-165.87,281.6,1.0,0.0,0.0,
M5 escape,6.13,-168.87,295.1,0.0,0.0,1.0,
M5 escape,7.63,-182.37,277.1,0.0,0.0,1.0,
M5 escape,21.13,-168.87,281.6,0.0,0.0,1.0,
M5 escape,4.63,-171.87,283.1,0.0,0.0,1.0,
M5 escape,21.13,-168.87,269.6,0.0,0.0,1.0,
M5 escape,7.63,-168.87,271.1,0.0,0.0,1.0,
M5 escape,21.13,-182.37,272.6,0.0,0.0,1.0,
M5 escape,6.13,-168.87,262.1,0.0,0.0,1.0,
M5 escape,21.13,-179.37,254.6,0.0,0.0,1.0,
M5 escape,6.13,-180.87,254.6,0.0,0.0,1.0,
M5 escape,4.63,-167.37,253.1,0.0,0.0,1.0,
