id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,17.4,30.66,-975.24,0.5118,0.7385,-0.439,0.437
branch_002,8.02,32.22,-986.44,0.4145,0.3282,-0.8488,0.928
branch_003,18.96,27.53,-1059.24,-0.1979,-0.1789,-0.9638,1.046
branch_004,21.31,35.35,-994.44,-0.7958,-0.4006,-0.4541,1.581
branch_005,9.58,40.83,-1078.44,-0.7269,0.6867,-0.0041,
branch_006,22.09,30.66,-1030.44,-0.733,-0.5912,0.3365,1.144
branch_007,17.4,39.26,-1052.84,-0.4231,-0.3534,0.8344,1.05
branch_008,16.62,37.7,-1018.44,-0.3545,-0.5441,0.7605,0.782
branch_009,16.62,43.17,-1079.24,-0.8195,-0.5725,0.0273,0.811
