method,n_ostia,runtime_s,note,mean_agreement_pct
M1 frangi,12,3.13,thr=0.214,63.9
M2 band_connect,10,3.91,"band 153-363 HU, 11 structures",66.7
M3 expansion,10,3.55,"12 structures, 2 truncated, 1 dropped",65.0
M4 wall_flux,24,0.04,thr 153 HU,38.2
M5 escape,5,2.77,"cost<8.0, 6 structures",70.0
M6 oof,12,4.52,thr=14.464,62.5
M7 bulge,0,0.06,dev > 2.0 sd (1.87 mm),
M8 consensus,11,0.02,>=3 methods agree,75.8
